"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
10.9,-64.4286390148,-54.8951664739,-54.8951664739
10.95,-64.4342960538,-54.8950631222,-54.8950631222
11.0,-64.4398970825,-54.8949614603,-54.8949614603
11.05,-64.4454426555,-54.8948614536,-54.8948614536
11.1,-64.4509333219,-54.8947630686,-54.8947630686
11.15,-64.4563696252,-54.8946662728,-54.8946662728
11.2,-64.4617521037,-54.8945710346,-54.8945710346
11.25,-64.4670812903,-54.8944773234,-54.8944773234
11.3,-64.4723577128,-54.8943851092,-54.8943851092
11.35,-64.4775818934,-54.8942943629,-54.8942943629
11.4,-64.4827543495,-54.8942050564,-54.8942050564
11.45,-64.4878755931,-54.8941171621,-54.8941171621
11.5,-64.4929461314,-54.8940306533,-54.8940306533
11.55,-64.4979664663,-54.8939455039,-54.8939455039
11.6,-64.5029370949,-54.8938616885,-54.8938616885
11.65,-64.5078585094,-54.8937791825,-54.8937791825
11.7,-64.512731197,-54.8936979616,-54.8936979616
11.75,-64.5175556402,-54.8936180024,-54.8936180024
11.8,-64.5223323166,-54.8935392821,-54.8935392821
11.85,-64.5270616992,-54.8934617783,-54.8934617783
11.9,-64.5317442562,-54.8933854692,-54.8933854692
11.95,-64.5363804512,-54.8933103335,-54.8933103335
12.0,-64.5409707434,-54.8932363506,-54.8932363506
12.05,-64.5455155871,-54.8931635002,-54.8931635002
12.1,-64.5500154324,-54.8930917625,-54.8930917625
12.15,-64.5544707247,-54.8930211182,-54.8930211182
12.2,-64.5588819052,-54.8929515484,-54.8929515484
12.25,-64.5632494107,-54.8928830347,-54.8928830347
12.3,-64.5675736736,-54.8928155592,-54.8928155592
12.35,-64.5718551219,-54.8927491041,-54.8927491041
12.4,-64.5760941797,-54.8926836523,-54.8926836523
12.45,-64.5802912667,-54.8926191869,-54.8926191869
12.5,-64.5844467983,-54.8925556915,-54.8925556915
12.55,-64.588561186,-54.8924931499,-54.8924931499
12.6,-64.5926348372,-54.8924315463,-54.8924315463
12.65,-64.5966681553,-54.8923708653,-54.8923708653
12.7,-64.6006615395,-54.8923110919,-54.8923110919
12.75,-64.6046153852,-54.8922522111,-54.8922522111
12.8,-64.608530084,-54.8921942085,-54.8921942085
12.85,-64.6124060234,-54.8921370699,-54.8921370699
12.9,-64.6162435871,-54.8920807814,-54.8920807814
12.95,-64.6200431552,-54.8920253293,-54.8920253293
13.0,-64.6238051037,-54.8919707002,-54.8919707002
13.05,-64.6275298053,-54.8919168811,-54.8919168811
13.1,-64.6312176286,-54.8918638591,-54.8918638591
13.15,-64.6348689388,-54.8918116216,-54.8918116216
13.2,-64.6384840975,-54.8917601562,-54.8917601562
13.25,-64.6420634625,-54.8917094509,-54.8917094509
13.3,-64.6456073882,-54.8916594936,-54.8916594936
13.35,-64.6491162255,-54.8916102728,-54.8916102728
13.4,-64.6525903219,-54.891561777,-54.891561777
13.45,-64.6560300213,-54.8915139949,-54.8915139949
13.5,-64.6594356643,-54.8914669156,-54.8914669156
13.55,-64.6628075881,-54.8914205281,-54.8914205281
13.6,-64.6661461264,-54.8913748218,-54.8913748218
13.65,-64.6694516099,-54.8913297863,-54.8913297863
13.7,-64.6727243659,-54.8912854113,-54.8912854113
13.75,-64.6759647183,-54.8912416867,-54.8912416867
13.8,-64.6791729881,-54.8911986026,-54.8911986026
13.85,-64.6823494928,-54.8911561493,-54.8911561493
