"time","AMPA","NMDA","GABAa"
49.55,0.000288557154459,0.000255156324943,2.30702389446e-05
49.6,0.00028582844838,0.000255311152677,2.28635235253e-05
49.65,0.000283125475624,0.000255455691546,2.26586670497e-05
49.7,0.000280447994248,0.000255590094568,2.24556236644e-05
49.75,0.000277795764575,0.00025571450726,2.22543918768e-05
49.8,0.000275168549175,0.000255829065865,2.20550115325e-05
49.85,0.000272567475004,0.000255933895725,2.18574395303e-05
49.9,0.000269990919789,0.000256029203236,2.16616157025e-05
49.95,0.000267438653117,0.000256115372651,2.14675687552e-05
50.0,0.000264910446731,0.000256192162119,2.1275238781e-05
50.05,0.000262406074512,0.000256259669752,2.10846108232e-05
50.1,0.000259925312461,0.000256317986764,2.0895687155e-05
50.15,0.000257467938674,0.000256367196911,2.07084624334e-05
50.2,0.000255033733326,0.000256407838696,2.05228947516e-05
50.25,0.000252622478653,0.000256439773551,2.03389827454e-05
50.3,0.000250233958928,0.000256462766818,2.01567628311e-05
50.35,0.000247867960448,0.00025647687586,1.9976195617e-05
50.4,0.000245524271508,0.000256482153752,1.97972261139e-05
50.45,0.00024320268239,0.000256478650225,1.96198805574e-05
50.5,0.000240902985339,0.000256466408056,1.9444104196e-05
50.55,0.000238624974545,0.00025644546713,1.92698833606e-05
50.6,0.000236368446128,0.000256415862711,1.90972201286e-05
50.65,0.000234133198119,0.000256377624934,1.89261096169e-05
50.7,0.00023191903044,0.000256330779368,1.87565135255e-05
50.75,0.000229725744886,0.000256275348808,1.85884306077e-05
50.8,0.000227553145114,0.000256211351747,1.84218941454e-05
50.85,0.00022540216307,0.000256138800978,1.82568681374e-05
50.9,0.000223271457202,0.000256057715694,1.80933023273e-05
50.95,0.000221160836965,0.000255968346543,1.79312206927e-05
51.0,0.000219070113601,0.000255870636236,1.77705731944e-05
51.05,0.00021699910012,0.000255764411669,1.76113473398e-05
51.1,0.000214947611283,0.000255649673992,1.74535450275e-05
51.15,0.000212915463584,0.000255526421491,1.72971617947e-05
51.2,0.000210902475238,0.000255394650113,1.7142162638e-05
51.25,0.000208908466161,0.000255254355117,1.69885464177e-05
51.3,0.000206933257958,0.000255105529701,1.68363435513e-05
51.35,0.000204976673904,0.000254948163757,1.66855211362e-05
51.4,0.000203038538929,0.000254782247074,1.65360332415e-05
51.45,0.000201118679602,0.000254608141889,1.6387901781e-05
51.5,0.00019921692412,0.000254425518541,1.62410810225e-05
51.55,0.000197333102287,0.000254234315518,1.60955595485e-05
51.6,0.000195467045502,0.000254034522005,1.59513390942e-05
51.65,0.000193618586744,0.000253826512198,1.58084155809e-05
51.7,0.000191787560557,0.000253610318722,1.56667570178e-05
51.75,0.000189973803036,0.000253385560461,1.55263623635e-05
51.8,0.000188177151809,0.000253152228096,1.53872594174e-05
51.85,0.000186398377562,0.000252910311432,1.52494181089e-05
51.9,0.000184636370882,0.000252659809373,1.51127964601e-05
51.95,0.000182890974199,0.000252400716379,1.49774144988e-05
52.0,0.000181162031417,0.000252133027072,1.4843230429e-05
52.05,0.000179449387902,0.000251856739302,1.47102338157e-05
52.1,0.00017775289047,0.000251571852877,1.4578426245e-05
52.15,0.000176072387368,0.000251278369215,1.44478039891e-05
52.2,0.000174407728269,0.000250976291781,1.43183378106e-05
52.25,0.00017275876425,0.000250665627456,1.41900267578e-05
52.3,0.000171125347785,0.000250346385397,1.40628962375e-05
52.35,0.00016950733273,0.000250019912017,1.39369187669e-05
52.4,0.000167904574309,0.000249685122827,1.38120559815e-05
52.45,0.000166316929104,0.000249341975064,1.36883261852e-05
52.5,0.000164744255037,0.000248990675922,1.35656911792e-05
52.55,0.000163186411365,0.000248630955899,1.34441414268e-05
52.6,0.000161643258663,0.000248262844375,1.33236783775e-05
52.65,0.000160114658809,0.000247886373915,1.32042986243e-05
52.7,0.00015860047498,0.000247501580589,1.30859754464e-05
52.75,0.00015710057163,0.00024710855495,1.29687079738e-05
52.8,0.000155614814488,0.000246709232552,1.28525194266e-05
52.85,0.000154143840877,0.000246301789221,1.27373846877e-05
52.9,0.000152686733359,0.000245886278175,1.26232686942e-05
52.95,0.000151243361629,0.000245462990928,1.25101881748e-05
53.0,0.000149813596604,0.000245031926226,1.23981082185e-05
53.05,0.000148397310406,0.000244592977016,1.22870201092e-05
53.1,0.000146994376359,0.000244146212229,1.21769251717e-05
53.15,0.000145604668969,0.00024369380482,1.20678202924e-05
53.2,0.000144228063922,0.000243234056101,1.19596810502e-05
53.25,0.000142864438065,0.000242766787277,1.185250665e-05
53.3,0.0001415136694,0.000242292082698,1.17463183133e-05
53.35,0.000140175637072,0.000241810029188,1.16410930849e-05
53.4,0.000138850221356,0.000241320717915,1.15367989197e-05
