"time","AMPA","NMDA","GABAa"
49.85,-0.0125251617852,-0.00182851952993,0.00185182593808
49.9,-0.0173533084484,-0.00193734875636,0.00184818307532
49.95,-0.0218295694945,-0.00205459087479,0.00185590988444
50.0,-0.0259621501447,-0.00218069657091,0.00187363868556
50.05,-0.0297591601815,-0.00231668623115,0.00190009864419
50.1,-0.0332322563839,-0.00246208029032,0.00193410537352
50.15,-0.0363946730519,-0.00261810346072,0.00197457095627
50.2,-0.0392597847223,-0.00278484444601,0.00202049345944
50.25,-0.0418438005203,-0.00296233982692,0.00207095957079
50.3,-0.0441605815066,-0.00315151069663,0.00212513536
50.35,-0.046227534979,-0.00335162834275,0.00218226744431
50.4,-0.0480587081961,-0.00356358248923,0.00224168584495
50.45,-0.0496709019893,-0.00378735122117,0.00230277565956
50.5,-0.0510783442639,-0.00402239105344,0.00236499624222
50.55,-0.0522962067643,-0.00426966752996,0.00242786380051
50.6,-0.053338398392,-0.00452810263617,0.00249095695996
50.65,-0.0542183412013,-0.0047980827092,0.00255390069618
50.7,-0.0549492220403,-0.00507969624263,0.00261637172488
50.75,-0.0555426675123,-0.00537160473457,0.0026780850613
50.8,-0.0547217142718,-0.00552919184447,0.00273879999252
50.85,-0.053464597442,-0.00568270580126,0.0027955030962
50.9,-0.052257843802,-0.00583147043057,0.00284751621308
50.95,-0.0510988587979,-0.00597524581046,0.00289510290263
51.0,-0.0499851645749,-0.00611405863767,0.00293852224763
51.05,-0.0489144320059,-0.00624791707178,0.00297801640477
51.1,-0.0478844711694,-0.00637681930581,0.00301381112714
51.15,-0.0468932222926,-0.00650103469946,0.00304612497096
51.2,-0.0459387756159,-0.0066203368691,0.0030751537498
51.25,-0.0450192716985,-0.0067350357989,0.0031010917425
51.3,-0.0441330173708,-0.00684503499958,0.00312411369491
51.35,-0.0432783877436,-0.00695057445151,0.0031443850007
51.4,-0.0424538215632,-0.00705178565957,0.00316207803057
51.45,-0.0416578997,-0.00714870835648,0.00317733068528
