"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
34.9,-47.4270406958,-54.8897532209,-54.9000500338
34.95,-47.4140469734,-54.8897259989,-54.8996480832
35.0,-47.4026418587,-54.8896994383,-54.899262243
35.05,-47.3927875436,-54.8896735176,-54.8988918238
35.1,-47.3844473574,-54.8896482161,-54.8985361669
35.15,-47.3775854057,-54.8896235136,-54.898194642
35.2,-47.3721665227,-54.8895993911,-54.8978666465
35.25,-47.3681566701,-54.8895758301,-54.8975516042
35.3,-47.3655225455,-54.8895528129,-54.8972489638
35.35,-47.3642317254,-54.8895303225,-54.8969581984
35.4,-47.3642526448,-54.8895083425,-54.8966788038
35.45,-47.365554373,-54.8894868572,-54.896410298
35.5,-47.3681067768,-54.8894658514,-54.8961522199
35.55,-47.3718804306,-54.8894453106,-54.8959041285
35.6,-47.3768467932,-54.8894252208,-54.8956656022
35.65,-47.3829778822,-54.8894055684,-54.8954362374
35.7,-47.3902461718,-54.8893863406,-54.8952156484
35.75,-47.3986250558,-54.8893675248,-54.8950034661
35.8,-47.4080884496,-54.889349109,-54.8947993374
35.85,-47.4186100759,-54.8893310817,-54.8946029249
35.9,-47.4301652088,-54.8893134317,-54.8944139053
35.95,-47.4427295959,-54.8892961482,-54.8942319698
36.0,-47.4562796225,-54.8892792209,-54.8940568229
36.05,-47.4707921579,-54.8892626399,-54.8938881816
36.1,-47.4862447672,-54.8892463956,-54.8937257757
36.15,-47.5026154178,-54.8892304786,-54.8935693463
36.2,-47.5198825827,-54.8892148801,-54.8934186458
36.25,-47.5380252418,-54.8891995915,-54.8932734374
36.3,-47.5570228099,-54.8891846044,-54.8931334945
36.35,-47.5768552192,-54.8891699109,-54.8929986002
36.4,-47.5975029103,-54.8891555031,-54.8928685471
36.45,-47.6189466054,-54.8891413738,-54.8927431367
36.5,-47.6411667287,-54.8891275155,-54.8926221791
36.55,-47.6641453059,-54.8891139215,-54.8925054925
36.6,-47.6878645213,-54.8891005849,-54.8923929029
36.65,-47.7123068495,-54.8890874993,-54.892284244
36.7,-47.7374551516,-54.8890746585,-54.8921793564
36.75,-47.7632926784,-54.8890620563,-54.8920780877
36.8,-47.7898030075,-54.8890496868,-54.891980292
36.85,-47.8169693986,-54.8890375445,-54.8918858295
36.9,-47.8447762535,-54.8890256239,-54.8917945668
36.95,-47.8732071294,-54.8890139196,-54.8917063758
37.0,-47.9022475123,-54.8890024266,-54.891621134
37.05,-47.9318827045,-54.8889911398,-54.8915387243
37.1,-47.9620984568,-54.8889800544,-54.8914590344
37.15,-47.9928807283,-54.8889691659,-54.8913819567
37.2,-48.0242157761,-54.8889584696,-54.8913073886
37.25,-48.0560901593,-54.8889479613,-54.8912352314
37.3,-48.0884896884,-54.8889376367,-54.8911653908
37.35,-48.1214018191,-54.8889274917,-54.8910977766
37.4,-48.1548139867,-54.8889175223,-54.8910323023
37.45,-48.1887138091,-54.8889077247,-54.8909688849
37.5,-48.2230892145,-54.8888980951,-54.8909074453
37.55,-48.2579283322,-54.8888886299,-54.8908479075
37.6,-48.2932196549,-54.8888793256,-54.8907901986
37.65,-48.3289504124,-54.8888701788,-54.890734249
37.7,-48.3651101677,-54.8888611861,-54.8906799919
37.75,-48.4016880324,-54.8888523443,-54.8906273633
37.8,-48.4386733063,-54.8888436503,-54.8905763019
37.85,-48.4760549375,-54.8888351011,-54.8905267491
37.9,-48.5138227491,-54.8888266936,-54.8904786486
37.95,-48.5519651849,-54.8888184251,-54.8904319463
38.0,-48.5904731226,-54.8888102926,-54.8903865907
38.05,-48.6293369203,-54.8888022936,-54.8903425322
38.1,-48.6685472356,-54.8887944253,-54.8902997233
38.15,-48.7080948332,-54.8887866852,-54.8902581186
38.2,-48.7479696805,-54.8887790708,-54.8902176744
38.25,-48.7881630806,-54.8887715795,-54.8901783488
38.3,-48.8286663142,-54.8887642092,-54.8901401017
38.35,-48.8694708663,-54.8887569574,-54.8901028947
38.4,-48.910568424,-54.8887498218,-54.890066691
38.45,-48.9519507712,-54.8887428004,-54.890031455
38.5,-48.9936083498,-54.8887358909,-54.8899971529
38.55,-49.035533902,-54.8887290913,-54.8899637521
38.6,-49.0777197823,-54.8887223994,-54.8899312214
38.65,-49.1201584216,-54.8887158134,-54.8898995309
38.7,-49.1628423951,-54.8887093313,-54.8898686516
38.75,-49.2057630901,-54.8887029512,-54.8898385561
38.8,-49.2489138168,-54.8886966713,-54.8898092178
38.85,-49.2922870729,-54.8886904897,-54.8897806114
38.9,-49.3358760455,-54.8886844047,-54.8897527123
38.95,-49.3796739915,-54.8886784146,-54.8897254971
39.0,-49.4236730405,-54.8886725176,-54.8896989434
39.05,-49.4678671109,-54.8886667123,-54.8896730295
39.1,-49.5122499266,-54.8886609968,-54.8896477346
39.15,-49.5568152646,-54.8886553698,-54.8896230387
39.2,-49.6015570174,-54.8886498296,-54.8895989227
39.25,-49.6464678514,-54.8886443748,-54.8895753682
39.3,-49.691542313,-54.8886390038,-54.8895523574
39.35,-49.7367746435,-54.8886337153,-54.8895298733
39.4,-49.7821592198,-54.8886285078,-54.8895078995
39.45,-49.8276904515,-54.88862338,-54.8894864204
39.5,-49.8733613732,-54.8886183306,-54.8894654207
39.55,-49.9191671889,-54.8886133581,-54.8894448859
39.6,-49.9651027136,-54.8886084614,-54.8894248021
39.65,-50.0111627996,-54.8886036391,-54.8894051556
39.7,-50.057342392,-54.8885988901,-54.8893859336
39.75,-50.1036348471,-54.8885942131,-54.8893671235
39.8,-50.1500360438,-54.8885896069,-54.8893487134
39.85,-50.1965407836,-54.8885850704,-54.8893306917
39.9,-50.243144422,-54.8885806024,-54.8893130472
39.95,-50.2898413481,-54.8885762019,-54.8892957692
40.0,-50.3366271157,-54.8885718676,-54.8892788473
40.05,-50.3834972501,-54.8885675986,-54.8892622716
40.1,-50.4304474665,-54.8885633938,-54.8892460325
40.15,-50.477473505,-54.8885592522,-54.8892301207
40.2,-50.5245698855,-54.8885551727,-54.8892145274
40.25,-50.5717328654,-54.8885511544,-54.8891992438
40.3,-50.6189584015,-54.8885471963,-54.8891842617
40.35,-50.6662425444,-54.8885432973,-54.889169573
40.4,-50.7135814386,-54.8885394567,-54.8891551702
40.45,-50.760969633,-54.8885356734,-54.8891410456
40.5,-50.8084040801,-54.8885319466,-54.889127192
40.55,-50.8558810934,-54.8885282754,-54.8891136027
40.6,-50.9033971152,-54.8885246589,-54.8891002707
40.65,-50.9509475878,-54.8885210962,-54.8890871896
40.7,-50.9985291078,-54.8885175865,-54.8890743532
40.75,-51.0461382705,-54.888514129,-54.8890617554
40.8,-51.0937717134,-54.8885107229,-54.8890493904
40.85,-51.1414257914,-54.8885073674,-54.8890372524
40.9,-51.1890959358,-54.8885040616,-54.8890253359
40.95,-51.2367794084,-54.8885008049,-54.8890136358
41.0,-51.2844730637,-54.8884975964,-54.8890021469
41.05,-51.3321738442,-54.8884944355,-54.8889908642
41.1,-51.3798788055,-54.8884913213,-54.8889797828
41.15,-51.4275832751,-54.8884882532,-54.8889688982
41.2,-51.475285177,-54.8884852305,-54.8889582059
41.25,-51.5229816917,-54.8884822525,-54.8889477014
41.3,-51.5706700333,-54.8884793185,-54.8889373806
41.35,-51.6183463292,-54.8884764278,-54.8889272393
41.4,-51.6660081484,-54.8884735797,-54.8889172736
41.45,-51.7136528595,-54.8884707737,-54.8889074796
41.5,-51.7612778966,-54.8884680091,-54.8888978536
41.55,-51.808880667,-54.8884652852,-54.8888883919
41.6,-51.8564572223,-54.8884626015,-54.8888790911
41.65,-51.9040057099,-54.8884599573,-54.8888699477
41.7,-51.9515237456,-54.888457352,-54.8888609583
41.75,-51.9990089914,-54.8884547851,-54.8888521199
41.8,-52.0464591363,-54.8884522559,-54.8888434292
41.85,-52.0938697776,-54.888449764,-54.8888348832
41.9,-52.1412396574,-54.8884473087,-54.8888264789
41.95,-52.1885666045,-54.8884448895,-54.8888182135
42.0,-52.2358485067,-54.8884425059,-54.8888100841
42.05,-52.2830820363,-54.8884401573,-54.8888020881
42.1,-52.3302655051,-54.8884378431,-54.8887942229
42.15,-52.3773969147,-54.888435563,-54.8887864857
42.2,-52.4244743019,-54.8884333164,-54.8887788742
42.25,-52.471495743,-54.8884311027,-54.8887713859
42.3,-52.5184578062,-54.8884289215,-54.8887640184
42.35,-52.5653592672,-54.8884267723,-54.8887567693
42.4,-52.6121983308,-54.8884246547,-54.8887496366
42.45,-52.6589732066,-54.8884225681,-54.8887426178
42.5,-52.7056821171,-54.8884205121,-54.888735711
42.55,-52.7523215255,-54.8884184862,-54.888728914
42.6,-52.798890686,-54.8884164901,-54.8887222248
42.65,-52.8453879572,-54.8884145232,-54.8887156413
42.7,-52.8918117276,-54.8884125851,-54.8887091618
42.75,-52.9381592946,-54.8884106754,-54.8887027841
42.8,-52.9844293372,-54.8884087937,-54.8886965067
42.85,-53.0306200898,-54.8884069396,-54.8886903275
42.9,-53.076730093,-54.8884051126,-54.8886842449
42.95,-53.1227578897,-54.8884033124,-54.8886782571
43.0,-53.1687007436,-54.8884015385,-54.8886723625
43.05,-53.2145576633,-54.8883997906,-54.8886665594
43.1,-53.2603273082,-54.8883980683,-54.8886608462
43.15,-53.3060083491,-54.8883963711,-54.8886552214
43.2,-53.3515994824,-54.8883946989,-54.8886496833
43.25,-53.3970979538,-54.8883930511,-54.8886442306
43.3,-53.4425031234,-54.8883914274,-54.8886388618
43.35,-53.4878137761,-54.8883898274,-54.8886335754
43.4,-53.5330287332,-54.8883882509,-54.88862837
43.45,-53.5781468168,-54.8883866975,-54.8886232442
